Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00021_00000.ppm;123;128;10;11;112;117;29
00021_00001.ppm;106;109;9;9;96;99;29
00021_00002.ppm;207;155;17;13;190;142;29
00376_00000.ppm;166;117;14;10;151;106;29
00376_00001.ppm;166;130;14;11;151;119;29
00376_00002.ppm;164;139;14;12;150;127;29
00413_00000.ppm;98;96;8;8;90;87;29
00413_00001.ppm;79;76;7;6;72;70;29
00413_00002.ppm;143;141;12;12;131;128;29
00650_00000.ppm;103;100;9;8;93;91;29
00650_00001.ppm;116;110;10;9;105;100;29
00650_00002.ppm;109;106;9;9;99;96;29
00909_00000.ppm;93;80;8;7;85;72;29
00909_00001.ppm;97;85;8;7;89;77;29
00909_00002.ppm;88;79;7;7;81;71;29
01365_00000.ppm;111;109;9;9;101;100;29
01365_00001.ppm;143;142;12;12;130;129;29
01365_00002.ppm;194;190;16;16;177;173;29
01496_00000.ppm;172;166;14;14;158;151;29
01496_00001.ppm;131;128;11;11;120;116;29
01496_00002.ppm;110;107;9;9;100;97;29
01541_00000.ppm;120;118;10;10;109;108;29
01541_00001.ppm;211;213;18;18;193;195;29
01541_00002.ppm;152;148;13;12;139;136;29
01657_00000.ppm;175;163;15;14;159;149;29
01657_00001.ppm;116;111;10;9;106;102;29
01657_00002.ppm;229;215;19;18;210;197;29
01693_00000.ppm;124;119;10;10;113;109;29
01693_00001.ppm;148;142;12;12;136;129;29
01693_00002.ppm;189;176;16;15;172;160;29
01699_00000.ppm;93;92;8;8;84;84;29
01699_00001.ppm;109;107;9;9;99;98;29
01699_00002.ppm;134;134;11;11;123;122;29
