Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00007_00000.ppm;97;60;8;5;88;54;54
00007_00001.ppm;130;76;11;6;118;70;54
00007_00002.ppm;201;120;17;10;184;110;54
00134_00000.ppm;166;134;14;11;152;122;54
00134_00001.ppm;169;120;14;10;154;110;54
00134_00002.ppm;168;100;14;8;154;91;54
00135_00000.ppm;190;117;16;10;174;106;54
00135_00001.ppm;117;70;10;6;106;63;54
00135_00002.ppm;88;61;7;5;81;55;54
00144_00000.ppm;99;67;8;6;90;60;54
00144_00001.ppm;103;60;9;5;93;54;54
00144_00002.ppm;98;69;8;6;90;62;54
00154_00000.ppm;98;61;8;5;90;56;54
00154_00001.ppm;98;67;8;6;90;61;54
00154_00002.ppm;100;62;8;5;91;56;54
00162_00000.ppm;211;151;18;13;192;138;54
00162_00001.ppm;219;145;18;12;200;133;54
00162_00002.ppm;230;136;19;11;210;125;54
00165_00000.ppm;274;175;23;15;251;159;54
00165_00001.ppm;273;156;23;13;250;143;54
00165_00002.ppm;276;143;23;12;253;130;54
00166_00000.ppm;120;97;10;8;109;88;54
00166_00001.ppm;93;70;8;6;84;64;54
00166_00002.ppm;75;57;6;5;68;52;54
00402_00000.ppm;55;40;5;5;50;34;54
00402_00001.ppm;76;51;6;5;69;46;54
00402_00002.ppm;117;73;10;6;106;67;54
00417_00000.ppm;132;73;11;6;120;67;54
00417_00001.ppm;93;49;8;5;84;44;54
00417_00002.ppm;80;44;7;5;72;39;54
00437_00000.ppm;108;72;9;6;99;66;54
00437_00001.ppm;109;74;9;6;100;68;54
00437_00002.ppm;111;75;9;6;101;68;54
00447_00000.ppm;100;74;8;6;91;67;54
00447_00001.ppm;100;76;8;6;91;69;54
00447_00002.ppm;106;87;9;7;97;79;54
00449_00000.ppm;183;123;15;10;168;112;54
00449_00001.ppm;181;119;15;10;166;109;54
00449_00002.ppm;181;130;15;11;165;119;54
00456_00000.ppm;392;295;33;25;359;270;54
00456_00001.ppm;211;143;18;12;193;130;54
00456_00002.ppm;143;97;12;8;130;88;54
00471_00000.ppm;202;134;17;11;184;122;54
00471_00001.ppm;204;132;17;11;187;120;54
00471_00002.ppm;207;147;17;12;189;134;54
00474_00000.ppm;379;285;32;24;346;261;54
00474_00001.ppm;155;104;13;9;141;95;54
00474_00002.ppm;107;73;9;6;97;67;54
00484_00000.ppm;115;54;10;5;104;49;54
00484_00001.ppm;105;52;9;5;96;46;54
00484_00002.ppm;129;59;11;5;117;54;54
00489_00000.ppm;117;74;10;6;106;67;54
00489_00001.ppm;116;73;10;6;106;67;54
00489_00002.ppm;112;72;9;6;102;66;54
00593_00000.ppm;148;103;12;9;136;93;54
00593_00001.ppm;154;107;13;9;141;97;54
00593_00002.ppm;153;112;13;9;140;102;54
00607_00000.ppm;133;111;11;9;122;102;54
00607_00001.ppm;134;105;11;9;123;96;54
00607_00002.ppm;135;97;11;8;124;88;54
00624_00000.ppm;140;76;12;6;128;70;54
00624_00001.ppm;127;72;11;6;115;66;54
00728_00000.ppm;286;191;24;16;261;174;54
00728_00001.ppm;290;184;24;15;266;169;54
00728_00002.ppm;298;180;25;15;272;165;54
00766_00000.ppm;106;32;9;5;97;26;54
00766_00001.ppm;100;32;8;5;92;26;54
00766_00002.ppm;106;32;9;5;97;27;54
00768_00000.ppm;158;79;13;7;144;71;54
00768_00001.ppm;131;69;11;6;120;62;54
00768_00002.ppm;100;53;8;5;91;48;54
01024_00000.ppm;167;139;14;12;153;126;54
01024_00001.ppm;176;139;15;12;161;126;54
01024_00002.ppm;181;128;15;11;166;117;54
01123_00000.ppm;103;76;9;6;94;69;54
01123_00001.ppm;100;70;8;6;92;63;54
01123_00002.ppm;100;68;8;6;92;62;54
01126_00000.ppm;94;60;8;5;85;55;54
01126_00001.ppm;112;67;9;6;103;60;54
01126_00002.ppm;103;63;9;5;93;57;54
01353_00000.ppm;348;211;29;18;318;193;54
01353_00001.ppm;216;134;18;11;197;122;54
01353_00002.ppm;135;94;11;8;123;86;54
01415_00000.ppm;97;70;8;6;88;64;54
01415_00001.ppm;135;107;11;9;124;97;54
01415_00002.ppm;118;87;10;7;108;79;54
01467_00000.ppm;243;93;20;8;222;84;54
01467_00001.ppm;171;62;14;5;157;56;54
01467_00002.ppm;130;60;11;5;119;55;54
01472_00000.ppm;373;268;31;22;342;245;54
01472_00001.ppm;157;109;13;9;143;100;54
01472_00002.ppm;120;83;10;7;109;76;54
01497_00000.ppm;129;87;11;7;117;80;54
01497_00001.ppm;128;96;11;8;117;88;54
01497_00002.ppm;105;60;9;5;95;55;54
01624_00000.ppm;235;182;20;15;215;166;54
01624_00001.ppm;154;108;13;9;140;99;54
01624_00002.ppm;224;151;19;13;204;138;54
01750_00000.ppm;513;183;43;15;469;168;54
01750_00001.ppm;212;141;18;12;193;128;54
01750_00002.ppm;139;92;12;8;126;83;54
01757_00000.ppm;141;83;12;7;129;76;54
01757_00001.ppm;93;64;8;5;85;59;54
01757_00002.ppm;280;164;23;14;257;150;54
01760_00000.ppm;99;60;8;5;90;54;54
01760_00001.ppm;140;80;12;7;127;72;54
01792_00000.ppm;202;51;17;5;184;46;54
01792_00001.ppm;166;44;14;5;151;38;54
01792_00002.ppm;105;43;9;5;96;37;54
01898_00000.ppm;288;155;24;13;264;141;54
01898_00001.ppm;120;58;10;5;109;53;54
01898_00002.ppm;136;63;11;5;124;58;54
01937_00000.ppm;232;156;19;13;213;143;54
01937_00001.ppm;97;60;8;5;88;55;54
01937_00002.ppm;133;86;11;7;121;79;54
01944_00000.ppm;155;98;13;8;142;90;54
01944_00001.ppm;121;76;10;6;110;69;54
01944_00002.ppm;99;63;8;5;91;57;54
