Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00469_00000.ppm;248;266;21;22;227;244;25
00469_00001.ppm;253;287;21;24;231;262;25
00469_00002.ppm;253;286;21;24;231;261;25
00673_00000.ppm;63;61;5;5;58;55;25
00673_00001.ppm;61;60;5;5;56;54;25
00673_00002.ppm;83;80;7;7;75;72;25
00696_00000.ppm;94;82;8;7;85;74;25
00696_00001.ppm;91;73;8;6;83;67;25
00696_00002.ppm;92;76;8;6;83;70;25
00699_00000.ppm;128;122;11;10;117;111;25
00699_00001.ppm;98;95;8;8;90;87;25
00699_00002.ppm;112;105;9;9;103;96;25
00701_00000.ppm;203;121;17;10;186;110;25
00701_00001.ppm;199;117;17;10;181;106;25
00701_00002.ppm;188;116;16;10;171;105;25
01151_00000.ppm;143;105;12;9;131;95;25
01151_00001.ppm;146;98;12;8;133;89;25
01151_00002.ppm;143;110;12;9;131;101;25
01166_00000.ppm;103;123;9;10;93;112;25
01166_00001.ppm;86;111;7;9;78;101;25
01166_00002.ppm;79;99;7;8;71;90;25
01174_00000.ppm;123;104;10;9;112;94;25
01174_00001.ppm;103;80;9;7;94;72;25
01174_00002.ppm;110;91;9;8;100;82;25
01175_00000.ppm;208;205;17;17;191;188;25
01175_00001.ppm;194;204;16;17;178;187;25
01175_00002.ppm;194;211;16;18;177;192;25
01176_00000.ppm;169;134;14;11;154;122;25
01176_00001.ppm;206;155;17;13;188;142;25
01176_00002.ppm;151;116;13;10;137;106;25
01181_00000.ppm;153;151;13;13;140;138;25
01181_00001.ppm;133;132;11;11;122;120;25
01181_00002.ppm;178;177;15;15;162;161;25
01183_00000.ppm;104;103;9;9;94;94;25
01183_00001.ppm;92;92;8;8;83;83;25
01183_00002.ppm;83;82;7;7;76;75;25
01184_00000.ppm;156;95;13;8;143;87;25
01184_00001.ppm;127;76;11;6;116;70;25
01184_00002.ppm;136;85;11;7;124;77;25
01367_00000.ppm;92;85;8;7;84;77;25
01367_00001.ppm;81;74;7;6;74;67;25
01367_00002.ppm;67;62;6;5;60;56;25
