Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
01473_00000.ppm;320;340;27;28;293;312;12
01473_00001.ppm;214;231;18;19;195;211;12
01473_00002.ppm;142;159;12;13;130;145;12
01564_00000.ppm;247;256;21;21;225;234;12
01564_00001.ppm;160;172;13;14;146;158;12
01564_00002.ppm;103;110;9;9;93;101;12
01565_00000.ppm;147;168;12;14;135;153;12
01565_00001.ppm;120;130;10;11;109;119;12
01565_00002.ppm;98;104;8;9;90;95;12
01609_00000.ppm;172;178;14;15;157;162;12
01609_00001.ppm;128;133;11;11;117;122;12
01609_00002.ppm;103;108;9;9;93;99;12
01652_00000.ppm;100;105;8;9;91;95;12
01652_00001.ppm;129;129;11;11;117;117;12
01652_00002.ppm;163;164;14;14;148;150;12
01734_00000.ppm;176;191;15;16;161;174;12
01734_00001.ppm;98;107;8;9;89;98;12
01734_00002.ppm;120;131;10;11;110;119;12
