Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00476_00000.ppm;163;235;14;20;149;214;52
00476_00001.ppm;93;133;8;11;85;122;52
00476_00002.ppm;62;88;5;7;57;81;52
00729_00000.ppm;196;141;16;12;180;128;52
00729_00001.ppm;196;112;16;9;180;103;52
00729_00002.ppm;194;170;16;14;177;155;52
00842_00000.ppm;110;171;9;14;101;156;52
00842_00001.ppm;105;157;9;13;95;143;52
00842_00002.ppm;107;163;9;14;98;148;52
00901_00000.ppm;127;181;11;15;116;166;52
00901_00001.ppm;156;226;13;19;142;206;52
00901_00002.ppm;202;291;17;24;185;266;52
01128_00000.ppm;115;157;10;13;104;143;52
01128_00001.ppm;109;134;9;11;100;122;52
01128_00002.ppm;109;142;9;12;99;129;52
01131_00000.ppm;147;131;12;11;135;120;52
01131_00001.ppm;147;112;12;9;135;103;52
01131_00002.ppm;148;93;12;8;135;85;52
01743_00000.ppm;145;207;12;17;132;189;52
01743_00001.ppm;82;118;7;10;75;108;52
01743_00002.ppm;56;80;5;7;50;73;52
01770_00000.ppm;84;127;7;11;77;116;52
01770_00001.ppm;122;193;10;16;112;177;52
01770_00002.ppm;70;105;6;9;63;96;52
01938_00000.ppm;64;96;5;8;58;88;52
01938_00001.ppm;97;147;8;12;89;135;52
01938_00002.ppm;133;202;11;17;121;184;52
