Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00267_00000.ppm;72;75;6;6;65;68;27
00267_00001.ppm;108;106;9;9;98;97;27
00267_00002.ppm;108;97;9;8;99;88;27
01490_00000.ppm;82;60;7;5;74;55;27
01490_00001.ppm;67;48;6;5;61;42;27
01490_00002.ppm;189;188;16;16;172;171;27
01544_00000.ppm;98;44;8;5;90;38;27
01544_00001.ppm;82;71;7;6;74;64;27
01544_00002.ppm;63;57;5;5;57;51;27
01594_00000.ppm;183;176;15;15;168;160;27
01594_00001.ppm;116;111;10;9;106;102;27
01594_00002.ppm;87;86;7;7;80;78;27
01597_00000.ppm;106;112;9;9;96;102;27
01597_00001.ppm;136;142;11;12;125;129;27
01597_00002.ppm;200;193;17;16;182;177;27
01667_00000.ppm;70;64;6;5;63;59;27
01667_00001.ppm;70;69;6;6;63;62;27
01667_00002.ppm;69;67;6;6;62;60;27
