Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00207_00000.ppm;147;160;12;13;135;146;3
00207_00001.ppm;109;119;9;10;99;109;3
00207_00002.ppm;87;96;7;8;80;88;3
00211_00000.ppm;145;151;12;13;133;137;3
00211_00001.ppm;190;192;16;16;173;175;3
00211_00002.ppm;112;119;9;10;102;108;3
00259_00000.ppm;144;80;12;7;132;73;3
00259_00001.ppm;73;82;6;7;66;74;3
00259_00002.ppm;63;73;5;6;58;66;3
00391_00000.ppm;29;30;5;5;24;24;3
00391_00001.ppm;30;31;5;5;24;25;3
00391_00002.ppm;29;30;5;5;23;24;3
01291_00000.ppm;100;104;8;9;91;94;3
01291_00001.ppm;168;166;14;14;154;151;3
01291_00002.ppm;71;73;6;6;65;67;3
