Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00320_00000.ppm;181;141;15;12;165;128;50
00320_00001.ppm;133;97;11;8;121;89;50
00320_00002.ppm;104;73;9;6;95;66;50
00322_00000.ppm;225;170;19;14;205;155;50
00322_00001.ppm;129;87;11;7;117;79;50
00322_00002.ppm;165;112;14;9;150;103;50
00581_00000.ppm;157;110;13;9;144;100;50
00581_00001.ppm;97;67;8;6;88;60;50
00581_00002.ppm;72;51;6;5;66;46;50
00584_00000.ppm;131;91;11;8;120;83;50
00584_00001.ppm;71;48;6;5;65;42;50
00584_00002.ppm;87;59;7;5;80;54;50
00824_00000.ppm;158;112;13;9;145;102;50
00824_00001.ppm;132;94;11;8;121;85;50
00824_00002.ppm;119;85;10;7;109;77;50
