Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00093_00000.ppm;72;71;6;6;66;64;53
00093_00001.ppm;72;70;6;6;66;64;53
00093_00002.ppm;70;69;6;6;64;63;53
00101_00000.ppm;85;69;7;6;77;63;53
00101_00001.ppm;83;79;7;7;76;71;53
00101_00002.ppm;83;83;7;7;75;75;53
00176_00000.ppm;112;115;9;10;102;105;53
00176_00001.ppm;141;155;12;13;129;141;53
00176_00002.ppm;98;97;8;8;89;89;53
00181_00000.ppm;220;231;18;19;202;211;53
00181_00001.ppm;158;155;13;13;144;141;53
00181_00002.ppm;127;127;11;11;116;116;53
00242_00000.ppm;238;108;20;9;217;98;53
00242_00001.ppm;158;82;13;7;145;75;53
00242_00002.ppm;129;70;11;6;118;63;53
00274_00000.ppm;204;145;17;12;187;133;53
00274_00001.ppm;206;189;17;16;189;172;53
00274_00002.ppm;212;153;18;13;194;140;53
00306_00000.ppm;110;84;9;7;100;77;53
00306_00001.ppm;106;82;9;7;96;74;53
00306_00002.ppm;112;98;9;8;103;90;53
00323_00000.ppm;127;123;11;10;115;112;53
00323_00001.ppm;122;119;10;10;112;108;53
00323_00002.ppm;128;120;11;10;116;109;53
00325_00000.ppm;226;235;19;20;206;215;53
00325_00001.ppm;205;188;17;16;187;171;53
00325_00002.ppm;200;207;17;17;182;190;53
00366_00000.ppm;139;140;12;12;126;127;53
00366_00001.ppm;142;143;12;12;130;130;53
00366_00002.ppm;141;141;12;12;129;129;53
00367_00000.ppm;156;155;13;13;143;141;53
00367_00001.ppm;154;155;13;13;141;142;53
00367_00002.ppm;148;144;12;12;135;131;53
00368_00000.ppm;46;43;5;5;41;38;53
00368_00001.ppm;47;44;5;5;42;39;53
00368_00002.ppm;45;45;5;5;40;40;53
00671_00000.ppm;189;181;16;15;172;165;53
00671_00001.ppm;184;179;15;15;168;163;53
00671_00002.ppm;189;184;16;15;172;168;53
00674_00000.ppm;85;112;7;9;78;102;53
00674_00001.ppm;85;116;7;10;78;105;53
00674_00002.ppm;79;118;7;10;72;107;53
00705_00000.ppm;148;83;12;7;136;75;53
00705_00001.ppm;153;85;13;7;139;77;53
00705_00002.ppm;144;81;12;7;132;74;53
00879_00000.ppm;110;88;9;7;100;81;53
00886_00000.ppm;159;142;13;12;146;129;53
00886_00001.ppm;140;118;12;10;127;107;53
00886_00002.ppm;148;128;12;11;136;117;53
