Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00050_00000.ppm;285;285;24;24;260;261;31
00050_00001.ppm;191;193;16;16;175;176;31
00050_00002.ppm;135;133;11;11;123;122;31
00060_00000.ppm;142;122;12;10;130;111;31
00060_00001.ppm;141;143;12;12;129;131;31
00060_00002.ppm;88;87;7;7;81;80;31
00063_00000.ppm;170;167;14;14;156;153;31
00063_00001.ppm;236;237;20;20;215;217;31
00063_00002.ppm;135;130;11;11;123;119;31
00065_00000.ppm;172;141;14;12;158;128;31
00065_00001.ppm;128;134;11;11;116;123;31
00065_00002.ppm;112;110;9;9;103;101;31
00068_00000.ppm;196;95;16;8;179;87;31
00068_00001.ppm;72;71;6;6;66;65;31
00068_00002.ppm;158;155;13;13;145;141;31
00092_00000.ppm;232;232;19;19;212;212;31
00092_00001.ppm;130;130;11;11;119;119;31
00092_00002.ppm;87;86;7;7;80;79;31
00103_00000.ppm;244;253;20;21;223;231;31
00103_00001.ppm;183;187;15;16;168;170;31
00103_00002.ppm;145;146;12;12;133;134;31
00111_00000.ppm;93;85;8;7;84;78;31
00111_00001.ppm;133;117;11;10;121;106;31
00111_00002.ppm;108;98;9;8;98;90;31
00118_00000.ppm;63;60;5;5;57;55;31
00118_00001.ppm;67;69;6;6;60;62;31
00118_00002.ppm;59;57;5;5;54;51;31
00272_00000.ppm;157;92;13;8;144;84;31
00272_00001.ppm;157;123;13;10;144;113;31
00272_00002.ppm;83;86;7;7;75;79;31
00275_00000.ppm;88;86;7;7;81;78;31
00275_00001.ppm;159;95;13;8;146;87;31
00275_00002.ppm;158;81;13;7;145;73;31
01716_00000.ppm;205;127;17;11;187;116;31
01716_00001.ppm;99;103;8;9;91;94;31
01716_00002.ppm;85;87;7;7;77;80;31
01894_00000.ppm;151;128;13;11;137;116;31
01894_00001.ppm;148;139;12;12;135;126;31
01894_00002.ppm;152;97;13;8;138;89;31
01909_00000.ppm;289;169;24;14;264;155;31
01909_00001.ppm;156;155;13;13;142;142;31
01909_00002.ppm;106;105;9;9;97;95;31
01910_00000.ppm;130;64;11;5;118;59;31
01910_00001.ppm;61;63;5;5;55;58;31
01910_00002.ppm;236;237;20;20;215;217;31
01911_00000.ppm;129;131;11;11;117;119;31
01911_00001.ppm;106;103;9;9;97;94;31
01911_00002.ppm;83;83;7;7;75;76;31
01916_00000.ppm;87;84;7;7;80;77;31
01916_00001.ppm;109;108;9;9;99;99;31
01916_00002.ppm;196;99;16;8;179;90;31
01955_00000.ppm;231;228;19;19;211;209;31
01955_00001.ppm;152;151;13;13;139;137;31
01955_00002.ppm;110;111;9;9;101;102;31
01956_00000.ppm;239;243;20;20;219;223;31
01956_00001.ppm;157;158;13;13;144;144;31
01956_00002.ppm;116;116;10;10;106;105;31
01957_00000.ppm;219;217;18;18;200;199;31
01957_00001.ppm;99;97;8;8;90;88;31
01957_00002.ppm;144;141;12;12;132;129;31
01959_00000.ppm;60;64;5;5;55;59;31
01959_00001.ppm;205;98;17;8;187;90;31
01959_00002.ppm;205;76;17;6;188;69;31
