Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00084_00000.ppm;134;140;11;12;122;127;41
00084_00001.ppm;142;147;12;12;129;134;41
00084_00002.ppm;136;141;11;12;124;128;41
00085_00000.ppm;133;133;11;11;121;122;41
00085_00001.ppm;139;141;12;12;126;129;41
00085_00002.ppm;140;144;12;12;128;132;41
00087_00000.ppm;55;53;5;5;50;48;41
00087_00001.ppm;68;67;6;6;62;60;41
00087_00002.ppm;48;47;5;5;43;41;41
00088_00000.ppm;73;74;6;6;67;68;41
00088_00001.ppm;87;88;7;7;80;81;41
00088_00002.ppm;167;106;14;9;152;97;41
00089_00000.ppm;53;51;5;5;47;46;41
00089_00001.ppm;53;52;5;5;48;47;41
00089_00002.ppm;53;52;5;5;48;46;41
00104_00000.ppm;88;87;7;7;81;79;41
00104_00001.ppm;85;84;7;7;78;76;41
00104_00002.ppm;88;88;7;7;81;81;41
00105_00000.ppm;91;91;8;8;82;82;41
00105_00001.ppm;94;91;8;8;85;83;41
00105_00002.ppm;88;82;7;7;80;74;41
00110_00000.ppm;133;79;11;7;122;71;41
00110_00001.ppm;94;62;8;5;85;56;41
00110_00002.ppm;72;52;6;5;65;47;41
00120_00000.ppm;118;115;10;10;108;104;41
00120_00001.ppm;82;80;7;7;74;73;41
00120_00002.ppm;63;62;5;5;58;56;41
00122_00000.ppm;53;54;5;5;48;49;41
00122_00001.ppm;117;79;10;7;106;71;41
00122_00002.ppm;112;87;9;7;102;79;41
00124_00000.ppm;53;50;5;5;48;44;41
00124_00001.ppm;53;41;5;5;47;35;41
00124_00002.ppm;52;53;5;5;46;47;41
00717_00000.ppm;432;164;36;14;395;149;41
00717_00001.ppm;332;274;28;23;304;250;41
00717_00002.ppm;292;251;24;21;267;229;41
00721_00000.ppm;94;93;8;8;85;85;41
00721_00001.ppm;91;84;8;7;83;77;41
00721_00002.ppm;86;83;7;7;79;75;41
00889_00000.ppm;169;163;14;14;155;148;41
00889_00001.ppm;155;147;13;12;141;134;41
00889_00002.ppm;121;119;10;10;111;108;41
00986_00000.ppm;130;123;11;10;119;113;41
00986_00001.ppm;112;107;9;9;103;97;41
00989_00000.ppm;97;95;8;8;88;87;41
00989_00001.ppm;92;91;8;8;84;82;41
00989_00002.ppm;86;87;7;7;79;79;41
00991_00000.ppm;115;121;10;10;105;111;41
00991_00001.ppm;106;117;9;10;96;107;41
00991_00002.ppm;98;115;8;10;89;104;41
00996_00000.ppm;79;79;7;7;71;71;41
00996_00001.ppm;97;96;8;8;89;88;41
00996_00002.ppm;129;123;11;10;117;113;41
00999_00000.ppm;144;140;12;12;132;127;41
00999_00001.ppm;131;122;11;10;120;111;41
00999_00002.ppm;111;109;9;9;101;99;41
01016_00000.ppm;178;154;15;13;163;140;41
01016_00001.ppm;179;155;15;13;163;142;41
01016_00002.ppm;177;154;15;13;162;141;41
01017_00000.ppm;139;122;12;10;126;111;41
01017_00001.ppm;109;98;9;8;100;89;41
01017_00002.ppm;121;108;10;9;111;99;41
01040_00000.ppm;131;124;11;10;119;114;41
01040_00001.ppm;107;103;9;9;97;94;41
01040_00002.ppm;116;108;10;9;106;98;41
01078_00000.ppm;175;156;15;13;159;143;41
01078_00001.ppm;203;181;17;15;186;165;41
01079_00000.ppm;100;95;8;8;91;86;41
01079_00001.ppm;95;86;8;7;86;78;41
01079_00002.ppm;139;122;12;10;127;112;41
01144_00000.ppm;141;136;12;11;129;125;41
01144_00001.ppm;127;123;11;10;116;113;41
01144_00002.ppm;111;111;9;9;102;101;41
01148_00000.ppm;64;71;5;6;59;64;41
01148_00001.ppm;62;67;5;6;57;61;41
01148_00002.ppm;60;62;5;5;55;56;41
01149_00000.ppm;116;107;10;9;106;97;41
01149_00001.ppm;121;110;10;9;110;100;41
01149_00002.ppm;109;104;9;9;100;94;41
01291_00000.ppm;207;207;17;17;189;189;41
01291_00001.ppm;128;124;11;10;117;114;41
01291_00002.ppm;92;87;8;7;84;80;41
01298_00000.ppm;223;167;19;14;204;152;41
01298_00001.ppm;180;139;15;12;164;126;41
01298_00002.ppm;135;112;11;9;124;103;41
01301_00000.ppm;106;91;9;8;96;82;41
01301_00001.ppm;103;96;9;8;93;87;41
01301_00002.ppm;108;115;9;10;98;104;41
01369_00000.ppm;99;99;8;8;91;90;41
01369_00001.ppm;151;153;13;13;137;140;41
01369_00002.ppm;195;199;16;17;179;181;41
01370_00000.ppm;332;147;28;12;304;134;41
01370_00001.ppm;136;131;11;11;125;120;41
01370_00002.ppm;116;109;10;9;105;99;41
01371_00000.ppm;145;135;12;11;133;123;41
01371_00001.ppm;122;115;10;10;111;105;41
01371_00002.ppm;103;95;9;8;93;86;41
01374_00000.ppm;290;284;24;24;265;260;41
01374_00001.ppm;296;196;25;16;271;180;41
01376_00000.ppm;100;104;8;9;91;94;41
01376_00001.ppm;119;123;10;10;108;112;41
01376_00002.ppm;392;227;33;19;358;208;41
01396_00000.ppm;316;229;26;19;290;210;41
