Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00034_00000.ppm;128;128;11;11;117;117;30
00034_00001.ppm;215;155;18;13;197;142;30
00034_00002.ppm;97;94;8;8;88;86;30
00328_00000.ppm;205;200;17;17;187;183;30
00328_00001.ppm;155;151;13;13;141;137;30
00328_00002.ppm;111;108;9;9;102;98;30
00364_00000.ppm;71;41;6;5;65;35;30
00405_00000.ppm;152;145;13;12;138;133;30
00405_00001.ppm;107;105;9;9;98;96;30
00405_00002.ppm;85;83;7;7;77;76;30
00625_00000.ppm;99;95;8;8;90;87;30
00625_00001.ppm;110;107;9;9;101;97;30
00625_00002.ppm;107;100;9;8;97;91;30
00686_00000.ppm;104;86;9;7;94;79;30
00686_00001.ppm;95;82;8;7;87;74;30
00686_00002.ppm;86;74;7;6;79;68;30
00710_00000.ppm;224;216;19;18;204;198;30
00710_00001.ppm;187;179;16;15;170;163;30
00710_00002.ppm;205;195;17;16;187;178;30
00714_00000.ppm;116;97;10;8;106;88;30
00714_00001.ppm;96;82;8;7;87;74;30
00714_00002.ppm;104;87;9;7;94;79;30
00811_00000.ppm;263;240;22;20;240;219;30
00811_00001.ppm;268;218;22;18;245;200;30
00811_00002.ppm;272;205;23;17;249;188;30
00903_00000.ppm;105;98;9;8;95;89;30
00903_00001.ppm;99;93;8;8;91;84;30
00903_00002.ppm;95;91;8;8;87;82;30
01293_00000.ppm;121;119;10;10;110;109;30
01293_00001.ppm;98;96;8;8;90;88;30
01293_00002.ppm;143;153;12;13;130;139;30
01484_00000.ppm;288;301;24;25;263;276;30
01484_00001.ppm;178;179;15;15;162;164;30
01484_00002.ppm;128;127;11;11;117;116;30
01695_00000.ppm;146;134;12;11;133;122;30
01695_00001.ppm;117;108;10;9;106;99;30
01695_00002.ppm;98;94;8;8;89;86;30
