Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00008_00000.ppm;40;41;5;5;35;36;18
00008_00001.ppm;96;98;8;8;88;89;18
00008_00002.ppm;50;54;5;5;45;49;18
00009_00000.ppm;40;43;5;5;35;38;18
00009_00001.ppm;60;63;5;5;54;58;18
00009_00002.ppm;151;160;13;13;137;146;18
00024_00000.ppm;118;130;10;11;108;118;18
00024_00001.ppm;159;178;13;15;145;162;18
00024_00002.ppm;309;206;26;17;282;188;18
00027_00000.ppm;98;104;8;9;89;95;18
00027_00001.ppm;130;136;11;11;118;125;18
00027_00002.ppm;236;96;20;8;215;87;18
00078_00000.ppm;110;129;9;11;101;118;18
00078_00001.ppm;145;175;12;15;132;160;18
00078_00002.ppm;314;199;26;17;287;181;18
00139_00000.ppm;166;181;14;15;151;166;18
00139_00001.ppm;73;79;6;7;67;72;18
00139_00002.ppm;47;48;5;5;42;43;18
00195_00000.ppm;111;119;9;10;101;108;18
00195_00001.ppm;93;98;8;8;85;89;18
00195_00002.ppm;75;83;6;7;69;76;18
00201_00000.ppm;104;112;9;9;95;103;18
00201_00001.ppm;123;136;10;11;113;124;18
00201_00002.ppm;200;211;17;18;183;192;18
00365_00000.ppm;180;94;15;8;164;86;18
00365_00001.ppm;178;110;15;9;162;101;18
00365_00002.ppm;179;120;15;10;163;109;18
00394_00000.ppm;151;156;13;13;138;143;18
00394_00001.ppm;154;132;13;11;140;121;18
00394_00002.ppm;153;144;13;12;140;131;18
00401_00000.ppm;151;159;13;13;138;145;18
00401_00001.ppm;80;86;7;7;73;78;18
00401_00002.ppm;56;60;5;5;50;54;18
00429_00000.ppm;118;109;10;9;108;99;18
00429_00001.ppm;84;82;7;7;77;75;18
00429_00002.ppm;64;64;5;5;59;59;18
00454_00000.ppm;64;72;5;6;58;66;18
00454_00001.ppm;103;115;9;10;94;104;18
00454_00002.ppm;231;241;19;20;211;221;18
00567_00000.ppm;215;203;18;17;196;186;18
00567_00001.ppm;107;105;9;9;98;96;18
00567_00002.ppm;71;71;6;6;65;65;18
00573_00000.ppm;79;88;7;7;72;81;18
00573_00001.ppm;57;61;5;5;52;56;18
00573_00002.ppm;176;194;15;16;161;178;18
00737_00000.ppm;178;98;15;8;162;89;18
00737_00001.ppm;177;74;15;6;161;67;18
00737_00002.ppm;178;124;15;10;162;113;18
00757_00000.ppm;75;84;6;7;68;76;18
00757_00001.ppm;80;84;7;7;73;77;18
00757_00002.ppm;72;82;6;7;66;74;18
01075_00000.ppm;97;107;8;9;88;97;18
01075_00001.ppm;81;87;7;7;74;80;18
01075_00002.ppm;92;99;8;8;83;91;18
01076_00000.ppm;103;105;9;9;93;95;18
01076_00001.ppm;91;96;8;8;83;87;18
01076_00002.ppm;82;84;7;7;75;76;18
01083_00000.ppm;144;155;12;13;132;142;18
01083_00001.ppm;133;144;11;12;121;132;18
01083_00002.ppm;127;134;11;11;115;123;18
01085_00000.ppm;96;99;8;8;87;90;18
01085_00001.ppm;80;83;7;7;72;75;18
01085_00002.ppm;85;93;7;8;78;85;18
01086_00000.ppm;75;79;6;7;68;72;18
01086_00001.ppm;70;71;6;6;64;64;18
01086_00002.ppm;85;86;7;7;77;78;18
01087_00000.ppm;109;122;9;10;100;112;18
01087_00001.ppm;117;132;10;11;106;120;18
01087_00002.ppm;123;140;10;12;112;128;18
01121_00000.ppm;82;93;7;8;74;84;18
01121_00001.ppm;94;106;8;9;85;96;18
01121_00002.ppm;86;98;7;8;78;90;18
01640_00000.ppm;85;98;7;8;78;89;18
01640_00001.ppm;73;81;6;7;67;74;18
01640_00002.ppm;177;95;15;8;161;87;18
01943_00000.ppm;85;88;7;7;77;80;18
01943_00001.ppm;116;121;10;10;106;111;18
01943_00002.ppm;202;116;17;10;184;106;18
01947_00000.ppm;93;107;8;9;84;97;18
01947_00001.ppm;168;200;14;17;153;183;18
01947_00002.ppm;319;216;27;18;291;198;18
