Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00153_00000.ppm;98;96;8;8;90;88;34
00153_00001.ppm;100;107;8;9;92;97;34
00153_00002.ppm;98;96;8;8;89;87;34
00370_00000.ppm;26;26;5;5;21;21;34
00370_00001.ppm;27;27;5;5;22;21;34
00370_00002.ppm;26;26;5;5;21;21;34
00561_00000.ppm;48;46;5;5;43;41;34
00561_00001.ppm;39;37;5;5;33;32;34
00561_00002.ppm;67;67;6;6;61;60;34
00565_00000.ppm;219;214;18;18;201;195;34
00565_00001.ppm;216;190;18;16;197;173;34
00565_00002.ppm;224;169;19;14;204;154;34
01142_00000.ppm;99;104;8;9;91;95;34
01142_00001.ppm;94;96;8;8;86;88;34
01142_00002.ppm;88;92;7;8;80;83;34
01214_00000.ppm;54;39;5;5;49;33;34
01214_00001.ppm;52;38;5;5;46;33;34
01214_00002.ppm;55;39;5;5;49;33;34
01218_00000.ppm;207;188;17;16;189;172;34
01218_00001.ppm;176;159;15;13;160;146;34
01218_00002.ppm;151;140;13;12;138;127;34
01240_00000.ppm;111;110;9;9;102;100;34
01240_00001.ppm;122;121;10;10;112;111;34
01240_00002.ppm;106;106;9;9;97;96;34
01241_00000.ppm;71;63;6;5;65;57;34
01241_00001.ppm;74;67;6;6;67;60;34
01241_00002.ppm;68;60;6;5;62;55;34
01259_00000.ppm;189;190;16;16;172;174;34
01259_00001.ppm;172;169;14;14;158;155;34
01259_00002.ppm;145;142;12;12;133;130;34
01259_00003.ppm;157;154;13;13;144;141;34
01260_00000.ppm;99;99;8;8;91;91;34
01260_00001.ppm;94;95;8;8;85;87;34
01260_00002.ppm;67;64;6;5;61;59;34
01418_00000.ppm;104;96;9;8;95;88;34
01418_00001.ppm;99;103;8;9;91;93;34
01418_00002.ppm;96;97;8;8;87;89;34
01643_00000.ppm;94;92;8;8;86;83;34
01643_00001.ppm;157;152;13;13;144;139;34
01643_00002.ppm;123;119;10;10;112;108;34
01646_00000.ppm;99;100;8;8;91;91;34
01646_00001.ppm;120;122;10;10;109;112;34
01646_00002.ppm;238;148;20;12;218;135;34
01890_00000.ppm;190;165;16;14;173;151;34
01890_00001.ppm;98;71;8;6;89;65;34
01890_00002.ppm;181;192;15;16;166;175;34
