Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00300_00000.ppm;275;280;23;23;252;256;24
00300_00001.ppm;263;265;22;22;241;242;24
00300_00002.ppm;259;240;22;20;236;219;24
00346_00000.ppm;397;241;33;20;364;220;24
00346_00001.ppm;395;280;33;23;361;256;24
00346_00002.ppm;392;316;33;26;358;290;24
00355_00000.ppm;93;85;8;7;84;78;24
00355_00001.ppm;96;72;8;6;87;65;24
00355_00002.ppm;97;81;8;7;88;74;24
00356_00000.ppm;111;108;9;9;101;98;24
00356_00001.ppm;70;70;6;6;64;64;24
00356_00002.ppm;53;53;5;5;48;48;24
00587_00000.ppm;327;332;27;28;299;304;24
00587_00001.ppm;118;116;10;10;107;105;24
00587_00002.ppm;141;139;12;12;129;127;24
01161_00000.ppm;181;179;15;15;165;164;24
01161_00001.ppm;187;148;16;12;171;135;24
01161_00002.ppm;184;165;15;14;168;151;24
01163_00000.ppm;304;166;25;14;278;152;24
01163_00001.ppm;310;157;26;13;284;143;24
01163_00002.ppm;315;147;26;12;289;135;24
01257_00000.ppm;67;51;6;5;61;46;24
01257_00001.ppm;68;54;6;5;62;48;24
01257_00002.ppm;69;56;6;5;63;51;24
01280_00000.ppm;146;147;12;12;133;134;24
01280_00001.ppm;219;204;18;17;201;186;24
01280_00002.ppm;287;188;24;16;263;172;24
01490_00000.ppm;68;46;6;5;61;41;24
01490_00001.ppm;82;59;7;5;74;53;24
01490_00002.ppm;192;190;16;16;175;174;24
01544_00000.ppm;99;49;8;5;90;43;24
01544_00001.ppm;82;75;7;6;74;68;24
01544_00002.ppm;62;58;5;5;57;53;24
01845_00000.ppm;156;147;13;12;142;135;24
01845_00001.ppm;157;143;13;12;144;130;24
01845_00002.ppm;155;147;13;12;141;135;24
01870_00000.ppm;100;103;8;9;92;94;24
01870_00001.ppm;148;143;12;12;135;130;24
01870_00002.ppm;120;118;10;10;109;107;24
01918_00000.ppm;237;136;20;11;216;124;24
01918_00001.ppm;172;111;14;9;158;101;24
01918_00002.ppm;117;83;10;7;106;76;24
01927_00000.ppm;242;99;20;8;221;91;24
01927_00001.ppm;109;117;9;10;99;106;24
01927_00002.ppm;103;107;9;9;93;98;24
01952_00000.ppm;104;60;9;5;94;54;24
01952_00001.ppm;127;72;11;6;115;66;24
01952_00002.ppm;166;87;14;7;152;80;24
